name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,parfumo_url,parfumo_name,parfumo_brand,parfumo_rating,parfumo_rating_count,parfumo_notes,fragrantica_id,image_url,match_source,_processed
Cuir InfraRouge Maison Crivelli,cuir-maisoncr,2000000005096,Parfum,Labor sklad,201,2420,16000,Clive Christian,,Милллилитр,,,,,,,96781,https://fimgs.net/mdimg/perfume-social-cards/en-social-96781.jpeg,fragrantica,1
Le Beau Paradise Garden Jean Paul Gaultier,paradisegarden,2000000005089,Parfum,Labor sklad,626,2420,16000,Jean Paul Gaultier,,Милллилитр,,,,,,,88836,https://fimgs.net/mdimg/perfume-social-cards/en-social-88836.jpeg,fragrantica,1
Blonde Amber Clive Christian,blondeamber-clive,2000000005072,Parfum,Labor sklad,190,2420,16000,Clive Christian,,Милллилитр,,,,,,,73595,https://fimgs.net/mdimg/perfume-social-cards/en-social-73595.jpeg,fragrantica,1
Town & Country Clive Christian,townCountry-clive,2000000005065,Parfum,Labor sklad,391,2420,16000,Clive Christian,,Милллилитр,,,,,,,83240,https://fimgs.net/mdimg/perfume-social-cards/en-social-83240.jpeg,fragrantica,1
FUGAZZI by BORNTOSTANDOUT,fugazzi-born,2000000005058,Parfum,Labor sklad,185,2420,16000,BORNTOSTANDOUT,,Милллилитр,,,,,,,99255,https://fimgs.net/mdimg/perfume-social-cards/en-social-99255.jpeg,fragrantica,1
Guidance 46 Amouage,guidance46,2000000005041,Parfum,Labor sklad,468,2420,16000,Amouage,,Милллилитр,,,,,,,94033,https://fimgs.net/mdimg/perfume-social-cards/en-social-94033.jpeg,fragrantica,1
Colonia iL Profumo Acqua di Parma,colonia iL-parma,2000000005034,Parfum,Labor sklad,586,2420,16000,Acqua di Parma,,Милллилитр,,,,,,,100793,https://fimgs.net/mdimg/perfume-social-cards/en-social-100793.jpeg,fragrantica,1
Tygar x Refik Anadol Bvlgari,refik-bvlgari,2000000005027,Parfum,Labor sklad,385,2420,16000,Bvlgari,,Милллилитр,,,,,,,108062,https://fimgs.net/mdimg/perfume-social-cards/en-social-108062.jpeg,fragrantica,1
Avto Parfum Thomas Kosmala №4,avto-thomas,2000000005010,Авто парфюм,Labor sklad,1,12100,40000,labor,,Штука,,,,,,,,,skipped,
Avto Parfum Bukhoor,avto-bukhoor,2000000005003,Авто парфюм,Labor sklad,14,12100,40000,labor,,Штука,,,,,,,,,skipped,
Avto Parfum Imagination,avto-imagin,2000000004990,Авто парфюм,Labor sklad,1,12100,40000,labor,,Штука,,,,,,,,,skipped,
Oud Cadenza Maison Crivelli,oudcadenza-maison,2000000004983,Parfum,Labor sklad,290,2420,16000,Maison Crivelli,,Милллилитр,,,,,,,95195,https://fimgs.net/mdimg/perfume-social-cards/en-social-95195.jpeg,fragrantica,1
Angels' Share Paradis By Kilian,angelparadis-kilian,2000000004976,Parfum,Labor sklad,303,2420,16000,Kilian,,Милллилитр,,,,,,,101629,https://fimgs.net/mdimg/perfume-social-cards/en-social-101629.jpeg,fragrantica,1
Ebene Fume Tom Ford,ebene-tomford,2000000004969,Parfum,Labor sklad,646,2420,16000,Tom Ford,,Милллилитр,,,,,,,69008,https://fimgs.net/mdimg/perfume-social-cards/en-social-69008.jpeg,fragrantica,1
Telea Tiziana Terenzi,telea-tiziana,2000000004952,Parfum,Labor sklad,401,2420,16000,Tiziana Terenzi,,Милллилитр,,,,,,,61876,https://fimgs.net/mdimg/perfume-social-cards/en-social-61876.jpeg,fragrantica,1
Palatine Parfums de Marly,palatine-demarly,2000000004945,Parfum,Labor sklad,87,2420,16000,Parfums de Marly,,Милллилитр,,,,,,,96023,https://fimgs.net/mdimg/perfume-social-cards/en-social-96023.jpeg,fragrantica,1
Castley Parfums de Marly,castley-demarly,2000000004938,Parfum,Labor sklad,135,2420,16000,Parfums de Marly,,Милллилитр,,,,,,,104991,https://fimgs.net/mdimg/perfume-social-cards/en-social-104991.jpeg,fragrantica,1
Risvelium Orto Parisi,risvelim-ortoparis,2000000004921,Parfum,Labor sklad,79,2420,16000,Orto Parisi,,Милллилитр,,,,,,,104365,https://fimgs.net/mdimg/perfume-social-cards/en-social-104365.jpeg,fragrantica,1
Hundred Silent Ways X Nishane,hundredXXX-nishane,2000000004914,Parfum,Labor sklad,554,2420,16000,NISHANE,,Милллилитр,https://www.parfumo.com/Perfumes/Nishane/hundred-silent-ways-x,Hundred Silent Ways X,Nishane,7.5,71,"Top: Mandarin orange, Peach, Tuberose | Mid: Gardenia, Heliotrope, Jasmine, Orris root | Base: Leather, Patchouli, Vanilla",,,parfumo_fuzzy_0.84,1
Montabaco Rio 2025 Ormonde Jayne,montaRIO-ormonde,2000000004907,Parfum,Labor sklad,335,2420,16000,Ormonde Jayne,,Милллилитр,,,,,,,101568,https://fimgs.net/mdimg/perfume-social-cards/en-social-101568.jpeg,fragrantica,1
Ani X Nishane,aniX-nishane,2000000004891,Parfum,Labor sklad,411,2420,16000,NISHANE,,Милллилитр,,,,,,,80464,https://fimgs.net/mdimg/perfume-social-cards/en-social-80464.jpeg,fragrantica,1
