name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,fragrantica_id,_processed
Ani X Nishane,aniX-nishane,2000000004891,Parfum,Labor sklad,411,2420,16000,NISHANE,,Милллилитр,80464,1
Eau de Memo Memo Paris,eaudememo-memo,2000000004884,Parfum,Labor sklad,359,2420,16000,Memo Paris,,Милллилитр,44229,1
Le Beau Parfum 2025 Maison Francis Kurkdjian,lebeau-kurkdjian,2000000004877,Parfum,Labor sklad,354,2420,16000,Maison Francis Kurkdjian,,Милллилитр,106859,1
Santal Volcanique Maison Crivelli,santalVolc-maison,2000000004860,Parfum,Labor sklad,200,2420,16000,Maison Crivelli,,Милллилитр,53871,1
Safran Secret Maison Crivelli,safransecret-maison,2000000004853,Parfum,Labor sklad,206,2420,16000,Maison Crivelli,,Милллилитр,104728,1
Fleur du Desert Louis Vuitton,fleurdesert-LV,2000000004846,Parfum,Labor sklad,151,2420,16000,Louis Vuitton,,Милллилитр,73006,1
Sun Song (2025) Louis Vuitton,sunsong-LV,2000000004839,Parfum,Labor sklad,252,2420,16000,Louis Vuitton,,Милллилитр,107116,1
Good Girl Gone Bad Extreme By Kilian,goodgirl-Extreme,2000000004822,Parfum,Labor sklad,220,2420,16000,Kilian,,Милллилитр,43810,1
Molecule 05 Escentric Molecules,molecule05,2000000004815,Parfum,Labor sklad,1,2420,16000,Escentric Molecules,,Милллилитр,58969,1
Royal Mayfair Creed,royalMay-creed,2000000004808,Parfum,Labor sklad,186,2420,16000,Creed,,Милллилитр,31562,1
Oud Zarian Creed,zarian-creed,2000000004792,Parfum,Labor sklad,128,2420,16000,Creed,,Милллилитр,111224,1
Red Tea Vetiver Clive Christian,redtea-clive,2000000004785,Parfum,Labor sklad,126,2420,16000,Clive Christian,,Милллилитр,101977,1
Opal Boadicea the Victorious,opal-boadicea,2000000004778,Parfum,Labor sklad,97,2420,16000,Boadicea the Victorious,,Милллилитр,102378,1
Drunk Lovers BORNTOSTANDOUT,drunklovers,2000000004761,Parfum,Labor sklad,172,2420,16000,BORNTOSTANDOUT,,Милллилитр,81882,1
